hs6,sic87dd,share,weights_method
81110,2037,1,"no weights needed"
81120,2037,1,"no weights needed"
81190,2037,1,"no weights needed"
81210,2035,1,"no weights needed"
81220,2035,1,"no weights needed"
81290,2035,1,"no weights needed"
81310,2034,1,"no weights needed"
81320,2034,1,"no weights needed"
81330,2034,1,"no weights needed"
81340,2034,1,"no weights needed"
81350,2034,.63419038,"trade-based"
81350,2068,.1512972,"trade-based"
81350,2099,.21451242,"trade-based"
81400,2034,1,"no weights needed"
90111,179,1,"no weights needed"
90112,179,1,"no weights needed"
90121,2095,1,"no weights needed"
90122,2095,1,"no weights needed"
90130,9100,1,"no weights needed"
90140,2095,1,"no weights needed"
90190,2095,.91163844,"trade-based"
90190,9100,.088361576,"trade-based"
90210,2099,1,"no weights needed"
90220,2099,1,"no weights needed"
90230,2099,1,"no weights needed"
90240,2099,1,"no weights needed"
90300,2099,1,"no weights needed"
90411,139,.83604431,"trade-based"
90411,2099,.16395567,"trade-based"
90412,2099,1,"no weights needed"
90420,2099,1,"trade-based"
90500,179,1,"no weights needed"
90610,181,1,"no weights needed"
90620,2099,1,"no weights needed"
90700,2099,1,"no weights needed"
90810,2099,1,"no weights needed"
90820,2099,1,"no weights needed"
90830,2099,1,"no weights needed"
90910,2099,1,"no weights needed"
90920,2099,1,"no weights needed"
90930,2099,1,"no weights needed"
90940,2099,1,"no weights needed"
90950,2099,1,"no weights needed"
91010,2099,1,"no weights needed"
91020,2099,1,"no weights needed"
91030,2099,1,"no weights needed"
91040,181,.88148183,"trade-based"
91040,2099,.11851814,"trade-based"
91050,2099,1,"no weights needed"
91091,2099,1,"no weights needed"
91099,181,.46026883,"trade-based"
91099,2099,.5397312,"trade-based"
100110,111,1,"no weights needed"
100190,111,1,"no weights needed"
100200,119,1,"no weights needed"
100300,119,1,"no weights needed"
100400,119,1,"no weights needed"
100510,115,1,"no weights needed"
100590,115,.9782142,"trade-based"
100590,119,.021785781,"trade-based"
100610,112,1,"no weights needed"
100620,2044,1,"no weights needed"
100630,2044,1,"no weights needed"
100640,2044,1,"no weights needed"
100700,119,1,"no weights needed"
100810,119,1,"no weights needed"
100820,119,1,"no weights needed"
100830,119,1,"no weights needed"
100890,119,1,"no weights needed"
110100,2041,1,"no weights needed"
110210,2041,1,"no weights needed"
110220,2041,1,"no weights needed"
110230,2044,1,"no weights needed"
110290,2041,1,"no weights needed"
110311,2041,1,"no weights needed"
110312,2041,1,"no weights needed"
110313,2041,1,"no weights needed"
110314,2044,1,"no weights needed"
110319,2041,1,"no weights needed"
110320,2041,1,"no weights needed"
110321,2041,1,"no weights needed"
110329,2041,1,"no weights needed"
110411,2043,1,"no weights needed"
110412,2043,1,"no weights needed"
110419,2043,1,"no weights needed"
110421,2043,1,"no weights needed"
110422,2043,1,"no weights needed"
110423,2043,1,"no weights needed"
110429,2043,1,"no weights needed"
110430,2043,1,"no weights needed"
110510,2034,1,"no weights needed"
110520,2034,1,"no weights needed"
110610,2034,1,"no weights needed"
110620,2034,1,"no weights needed"
110630,2034,1,"no weights needed"
110710,2083,1,"no weights needed"
110720,2083,1,"no weights needed"
110811,2046,1,"no weights needed"
110812,2046,1,"no weights needed"
110813,2046,1,"no weights needed"
110814,2046,1,"no weights needed"
110819,2046,1,"no weights needed"
110820,2834,1,"no weights needed"
110900,2046,1,"no weights needed"
120100,116,1,"no weights needed"
120210,139,1,"no weights needed"
120220,139,1,"no weights needed"
120300,173,1,"no weights needed"
120400,119,.74970526,"trade-based"
120400,139,.25029477,"trade-based"
120500,139,1,"no weights needed"
120510,139,1,"no weights needed"
120590,139,1,"no weights needed"
